"stateName","year","stateAbb","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","violent_crimeChange","homicideChange","rape_legacyChange","robberyChange","aggravated_assaultChange","property_crimeChange","larcenyChange","stateName.1","minorChange","prohibited","decriminalized","medicalNoTHC","medical","Recreational","RecreationalAndMedical","VotersNoChange","VotersNoInfo","VotersStateLegislature","VotersBallotMeasure","motor_vehicle_theftChange","income","stateColor"
"Alabama",1996,"AL",565.387315703253,10.3908261174819,32.6936578516265,166.721273110227,355.581558623918,4254.69225368593,1002.12965129885,2886.73063421484,365.831968172244,-66.9663170265849,-0.777760762367656,0.951358298369968,-19.0299613125334,-48.1099532500537,38.9856936106944,42.4560045416656,"Alabama",0,1,0,0,0,0,0,1,0,0,0,19.229569865167,46193,0.374287557653259
"Alaska",1996,"AK",727.677100494234,7.41350906095552,65.5683690280066,116.968698517298,537.726523887974,4722.73476112026,843.163097199341,3386.65568369028,492.915980230643,-43.1838266580839,-1.69245120394514,-14.7296442170265,-38.1637518138276,11.4020205767154,-260.212258747286,-237.68206465409,"Alaska",0,1,0,0,0,0,0,1,0,0,0,-28.7727614912118,80458,0.370031626942483
"Arizona",1996,"AZ",631.50406504065,8.51400180668473,31.1878952122855,167.773261065944,424.028906955736,6435.50135501355,1256.3233965673,4252.48419150858,926.693766937669,-81.9857405544184,-1.89377439056515,-2.429933142385,-5.98207321570607,-71.6799598057621,-1064.61718457867,-673.144068330204,"Arizona",0,1,0,0,0,0,0,1,0,0,0,-230.963890719988,48228,0.464420544005117
"Arkansas",1996,"AR",524.342629482072,8.72509960159362,41.6733067729084,114.103585657371,359.840637450199,4174.90039840637,953.187250996016,2908.76494023904,312.948207171315,-28.8377247852391,-1.70163147731137,4.43498149110481,-11.5807943748356,-19.9902804241969,37.2192389860847,93.3462606899297,"Arkansas",0,1,0,0,0,0,0,1,0,0,0,-12.414111669265,41347,0.35231749435882
"California",1996,"CA",862.651358303532,9.14737436476567,32.1350147437104,295.570612961917,525.798356233139,4345.11261685175,979.396448961666,2605.11010728402,760.606060606061,-103.362127403518,-2.0305673237968,-1.27534962363267,-35.592133563772,-64.4640768923161,-519.966999470391,-251.757789768751,"California",0,0,1,0,1,0,1,0,0,0,1,-127.294790956192,59166,0.621355574250186
"Colorado",1996,"CO",404.472927020664,4.70834423227832,46.1679309442846,98.2212921789171,255.375359665184,4714.04656029296,900.758566570756,3415.53753596652,397.750457755689,-35.719226702314,-1.05626745707317,6.66966566539481,2.0376786214044,-43.37030353204,-242.051651609892,-218.943382101269,"Colorado",0,1,1,0,0,0,0,1,0,0,0,10.2404497492842,62425,0.507872742121394
"Connecticut",1996,"CT",412.034208918754,4.82590103848503,23.0604764813684,169.578497251069,214.569334147831,3815.63836285889,842.211362248015,2484.05620036652,489.370800244349,6.1410791477615,0.245748366729309,-0.634180007181261,6.37239038084002,0.157120407373412,-281.705148591494,-184.676624060957,"Connecticut",0,1,0,0,0,0,0,1,0,0,0,-50.8429402136659,64207,0.598831537586623
"Delaware",1996,"DE",668.275862068966,4.27586206896552,62.6206896551724,179.862068965517,421.51724137931,4226.62068965517,804.137931034483,2988.27586206897,434.206896551724,-56.6892704275476,0.789111720290482,-17.5745683643534,-18.8827009089597,-21.0211128745251,-207.131053720002,-125.950079353629,"Delaware",0,1,0,0,0,0,0,1,0,0,0,19.9809551291299,59924,0.64842972675389
"Florida",1996,"FL",1051.04166666667,7.47916666666667,52.1388888888889,289.1875,702.236111111111,6446.34027777778,1521.22222222222,4204.5,720.618055555556,-19.9099075250601,0.158822179867288,3.52248341098404,-10.7207309755753,-12.870482140336,-184.239984822815,-117.898701115347,"Florida",0,1,0,0,0,0,0,1,0,0,0,-65.2071597486942,46710,0.514943174993311
"Georgia",1996,"GA",638.732490140079,8.56793145654835,32.0549435604515,205.358357133143,392.751257989936,5670.96423228614,1114.75588195294,3927.68937848497,628.518971848225,-18.3568030136498,-0.916862322093507,-3.204048246242,0.150747078983812,-14.3866395242981,324.415141882031,249.422471110996,"Georgia",0,1,0,0,0,0,0,1,0,0,0,20.1451348811373,49538,0.435177075577255
